Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Aransas County Public Library,"23,165",01/01/2021,12/31/2021,Rockport,3617900153,"$1,94,944","$23,954","$4,572",$0,$0,Yes,Yes,"39,794",665,"23,786","6,942","71,819","14,179","12,894","10,625","10,066","27,735",Yes,6,"2,519",360,"2,346",50
Claud H Gilmer Memorial Library,"1,923",09/01/2020,08/31/2021,Rocksprings,8306838130,"$98,101","$10,889","$6,357",$0,$0,Yes,Yes,"18,152",0,"19,095","4,840","42,831","25,000","1,580","4,458",601,"25,393",Yes,23,"3,815","7,323","2,420",49
Rockwall County Library,"91,800",10/01/2020,09/30/2021,Rockwall,9722047700,"$9,85,373","$1,06,647","$32,960",$0,"$3,524",Yes,Yes,"1,09,891","7,004","28,483","4,448","1,55,873","90,714","50,936","72,241","40,267","2,58,787",Yes,53,"7,297",-1,"2,495",52
D Brown Memorial Library,"1,296",10/01/2020,09/30/2021,Rosebud,2545832328,"$22,408","$1,736","$2,048",$0,$0,Yes,Yes,"7,630",151,"17,193","4,566","30,611",780,374,"5,723","16,993","26,068",Yes,11,300,-1,"1,357",46
Rotan Public Library,"3,784",01/01/2021,12/31/2021,Rotan,3257353362,"$12,429",$0,$0,$0,$0,Yes,Yes,"11,995",199,0,0,"13,176",0,765,0,0,0,Yes,14,0,-1,0,0
Round Rock Public Library System,"1,19,468",10/01/2020,09/30/2021,Round Rock,5122187000,"$25,98,651","$1,90,647","$2,25,874",$0,$0,Yes,Yes,"1,49,185","14,635","17,079","4,670","1,97,991","1,56,742","65,159","4,58,940","85,190","11,05,973",Yes,16,"8,422","3,31,923","3,569",52
Round Top Family Library,87,01/01/2021,12/31/2021,Round Top,9792492700,"$48,597","$3,083","$1,286",$0,$566,Yes,Yes,"9,495",280,"23,798","7,101","43,093","10,488","2,512","2,244",382,"4,554",Yes,5,40,"4,818",980,51
Rowlett Public Library,"62,535",10/01/2020,09/30/2021,Rowlett,9724126161,"$8,39,566","$65,928","$83,000",$0,$0,Yes,Yes,"59,808","3,347","45,790","15,354","1,43,330","84,339","10,194","90,295","42,961","2,76,277",Yes,8,"2,612","31,967","3,060",51
CF Goodwin Public Library,"13,508",10/01/2020,09/30/2021,Royse City,9726352772,"$1,00,768","$11,240","$2,500",$0,$0,Yes,Yes,"15,365",209,0,0,"18,397","15,659","3,127",643,24,"47,577",Yes,11,"2,981",-1,"2,108",51
Runge Public Library,"1,737",10/01/2020,09/30/2021,Runge,8302394192,"$83,431","$9,925","$1,100",$0,$0,Yes,Yes,"10,083",0,"17,293","4,794","33,358","2,237",767,"1,583",60,"3,715",Yes,6,272,-1,"1,552",52
Singletary Memorial Library,"3,427",10/01/2020,09/30/2021,Rusk,9036835916,"$89,328","$6,589","$2,000",$0,$0,Yes,Yes,"21,487",438,"35,522",0,"58,639","69,224","4,421","17,707",962,"23,694",Yes,6,"23,234",259,"2,080",52
Sabinal Public Library,"1,882",10/01/2020,09/30/2021,Sabinal,8309882911,"$6,000","$2,140",$0,$0,$0,Yes,Yes,"11,971",187,0,0,"12,446","4,659","1,634",939,0,"1,279",Yes,5,47,-1,"1,518",38
Sachse Public Library,"27,103",10/01/2020,09/30/2021,Sachse,9725308966,"$3,19,214","$47,738","$40,194",$0,$0,Yes,Yes,"32,808",12,"5,295","5,758","49,996","29,068","10,221","26,317","32,463","1,22,704",Yes,8,"1,207",-1,"2,273",50
John Ed Keeter Public Library,"23,890",10/01/2020,09/30/2021,Saginaw,8172300300,"$5,01,066","$31,202","$13,225",$0,$0,Yes,Yes,"45,090","1,797","18,219","9,360","79,309","46,215","6,863","27,906","7,337","64,343",Yes,21,"4,559",-1,"2,411",50
Salado Public Library District,"8,682",09/01/2020,08/31/2021,Salado,2549479191,"$2,49,462","$21,601","$8,410",$0,$0,Yes,Yes,"22,174","1,168","23,245","6,407","56,822","28,832","4,854","17,373","4,362","39,516",Yes,24,"1,324","10,778","2,046",38
Tom Green County Library System,"1,20,010",10/01/2020,09/30/2021,San Angelo,3256557321,"$18,53,084","$2,48,166","$1,72,887",$0,"$2,56,462",Yes,Yes,"2,15,417","8,682","16,082","5,285","2,81,847","1,88,938","61,718","1,73,273","90,605","3,90,646",Yes,32,"19,200","1,25,000","2,624",40
San Antonio Public Library,"18,05,443",10/01/2020,09/30/2021,San Antonio,2102072500,"$2,42,58,880","$16,18,196","$34,98,998","$57,53,115","$59,28,615",Yes,Yes,"12,72,795","1,08,584","2,89,837","1,12,008","20,07,742","13,22,542","4,35,517","15,74,275","22,30,099","57,49,571",Yes,710,"80,112","13,30,785",32,1
BiblioTech,"1,49,726",10/01/2020,09/30/2021,San Antonio/BexarCty,2103352450,"$22,26,136",$0,"$5,26,034",$0,$0,Yes,Yes,0,0,"6,36,298","4,24,417","13,42,189","93,969","1,90,683","1,214","1,80,760","2,34,978",Yes,284,"23,568","1,55,173","2,688",52
San Augustine Public Library,"8,248",07/01/2020,06/30/2021,San Augustine,9362755367,"$1,15,074","$12,844","$4,479",$0,$0,Yes,Yes,"23,702","1,064","18,805","1,968","47,719","8,902","5,052","9,347","2,304","12,914",Yes,11,"2,119",-1,"2,218",52
San Benito Public Library,"34,136",10/01/2020,09/30/2021,San Benito,9563613860,"$2,58,994","$19,691","$6,000",$0,$0,Yes,Yes,"31,720",0,0,0,"37,930","18,816","39,195","4,047",0,"6,182",Yes,24,432,-1,"2,284",44
San Juan Memorial Library,"54,527",10/01/2020,09/30/2021,San Juan,9567020926,"$2,69,600","$9,271",$0,$0,$0,Yes,Yes,"38,465",147,"9,868","3,568","56,010","18,370","23,424","3,491","24,032","42,436",Yes,63,"4,709","14,474","2,994",52
San Marcos Public Library,"89,202",10/01/2020,09/30/2021,San Marcos,5123938200,"$15,04,464","$1,60,504","$33,533","$1,48,00,000","$1,58,00,000",Yes,Yes,"1,60,538","3,936","17,602","5,278","2,02,499","2,25,000","38,338","1,33,089","40,951","2,39,893",Yes,44,"26,102",-1,"3,192",47
Rylander Memorial Library,"6,039",10/01/2020,09/30/2021,San Saba,3253723079,"$47,318","$9,110","$1,500",$0,$0,Yes,Yes,"14,185",883,"23,843","7,078","46,395","7,920","2,732","5,292","1,274","9,102",Yes,7,635,"1,927","1,140",51
Terrell County Public Library,702,10/01/2020,09/30/2021,Sanderson,4323452294,"$16,691","$4,623",$0,$0,$0,Yes,Yes,"23,335",256,0,0,"25,803","1,899",353,"4,567",0,"4,777",Yes,9,665,-1,0,0
Sanger Public Library,"12,332",10/01/2020,09/30/2021,Sanger,9404583257,"$2,47,253","$8,498","$2,685",$0,$0,Yes,Yes,"17,768",873,"9,954",885,"31,652","6,867","3,937","3,523","2,454","11,241",Yes,4,583,-1,712,17
Mae S Bruce Library,"14,321",10/01/2020,09/30/2021,Santa Fe,4099255540,"$2,30,506","$21,438","$4,408",$0,$0,Yes,Yes,"24,538",204,"48,861","22,245","96,892","11,463","2,278","22,768","4,524","38,041",Yes,8,"2,849","5,593","2,168",44
Schertz Public Library,"1,18,239",10/01/2020,09/30/2021,Schertz,2106191700,"$8,47,827","$83,357","$52,371",$0,$0,Yes,Yes,"81,687","3,512","17,088","7,239","1,24,573","91,291","30,291","84,156","31,063","2,50,699",Yes,51,"6,720","38,597","2,283",52
Schulenburg Public Library,"2,633",10/01/2020,09/30/2021,Schulenburg,9797433345,"$1,84,361","$8,041","$18,000",$0,$0,Yes,Yes,"41,133",489,"12,574",999,"59,274","6,720","4,326","14,428","1,592","27,028",Yes,20,"2,231","7,315","1,834",27
Seagoville Public Library,"18,446",10/01/2020,09/30/2021,Seagoville,9722877720,"$2,16,605","$9,653","$3,000",$0,$0,Yes,Yes,"24,442",259,"35,416","7,098","69,225","5,130","2,696","2,683","1,075","8,262",Yes,11,537,"1,700","1,437",36
Virgil & Josephine Gordon Memorial Library,"11,158",01/01/2021,12/31/2021,Sealy,9798857469,"$81,112","$8,292",$0,$0,$0,Yes,Yes,"30,686",573,0,0,"32,904","3,380","12,628","8,194",0,"12,259",Yes,10,988,-1,"2,040",51
Seguin Public Library,"43,233",10/01/2020,09/30/2021,Seguin,8304012422,"$11,13,672","$65,785","$40,340",$0,$0,Yes,Yes,"70,574","1,456","1,45,257","59,852","2,81,535","97,193","14,000","99,483","29,399","2,26,604",Yes,62,"16,427","63,867","2,808",50
Gaines County Library,"21,996",10/01/2020,09/30/2021,Seminole,4327584007,"$3,38,676","$28,437","$4,214",$0,$0,Yes,Yes,"40,696","1,521","18,468","3,920","67,478","36,534","6,197","17,027","5,386","62,339",Yes,13,"1,497","7,833","2,205",49
The Library at Cedar Creek Lake,"3,925",09/01/2020,08/31/2021,Seven Points,9034324185,"$1,03,259","$9,086","$1,500",$0,$0,Yes,Yes,"25,718","1,774","25,987","6,748","61,976","51,612","6,790","9,225","4,343","16,655",Yes,33,"4,682","8,347","1,196",40
Baylor County Free Library,"3,518",10/01/2020,09/30/2021,Seymour,9408892007,"$15,115","$16,000",$0,$0,$0,Yes,Yes,"26,157",150,0,0,"26,457","1,040","5,200",10,0,310,Yes,6,260,260,"1,530",51
Shallowater School County Library,"6,148",09/01/2020,08/31/2021,Shallowater,8068324531,"$21,211","$7,705","$1,000",$0,$0,Yes,Yes,"8,890",52,966,84,"10,074","2,243","1,655",678,30,"1,176",Yes,4,56,-1,"1,000",50
Shamrock Community Library,"4,946",01/01/2021,12/31/2021,Shamrock,8062563921,"$19,975","$4,500","$1,400",$0,"$2,300",Yes,Yes,"31,800",0,"5,982","1,782","39,564","4,050","2,000","2,400",500,"7,660",Yes,4,980,-1,"1,040",50
Shepherd Public Library,"2,105",10/01/2020,09/30/2021,Shepherd,9366283515,"$31,770","$6,972",$0,$0,$0,Yes,Yes,"7,882",255,0,0,"10,314","6,194","4,978","4,108",0,"5,046",Yes,10,290,"7,685","1,629",39
Sherman Public Library,"43,645",10/01/2020,09/30/2021,Sherman,9038927240,"$6,03,797","$36,880","$42,097","$6,840","$6,840",Yes,Yes,"41,858","4,095","34,940","7,297","92,812","38,780","15,771","35,456","22,828","95,303",Yes,10,"7,957","14,837","2,305",52
Shiner Public Library,"2,127",05/01/2020,04/30/2021,Shiner,3615943044,"$1,09,590","$7,120",$0,$0,$0,Yes,Yes,"17,980",663,0,0,"19,917","8,364","4,369","9,476",0,"14,872",Yes,4,"2,824",-1,"1,978",48
Silsbee Public Library,"13,645",10/01/2020,09/30/2021,Silsbee,4093854831,"$1,49,012","$15,370","$3,000","$2,365","$2,365",Yes,Yes,"50,892","1,205","15,936","1,789","75,330","20,721","5,745","16,610","1,675","22,811",Yes,10,"1,888",-1,"2,392",52
Sinton Public Library,"7,852",10/01/2020,09/30/2021,Sinton,3613644545,"$1,79,251","$11,275",$0,$0,$0,Yes,Yes,"21,572",382,0,0,"23,005","7,517","7,479","3,822",0,"6,742",Yes,12,"1,259",-1,"2,214",52
Slaton City Library,"6,713",10/01/2020,09/30/2021,Slaton,8068282008,"$43,822","$2,742",$0,$0,$0,Yes,Yes,"10,541",191,0,0,"11,574","2,499","3,038",900,0,"1,210",Yes,3,696,-1,"1,808",49
Smithville Public Library,"13,235",10/01/2020,09/30/2021,Smithville,5122373282,"$2,45,198","$21,393","$4,541",$0,$0,Yes,Yes,"42,103","1,652","18,318","4,884","71,001","12,976","6,203","44,505","3,039","72,742",Yes,16,"2,723","7,200","2,156",52
Scurry County Library,"16,662",01/01/2021,12/31/2021,Snyder,3255735572,"$3,56,621","$23,640","$2,250",$0,$0,Yes,Yes,"66,394","1,839","2,425","1,401","74,526","17,400","6,851","20,642","2,426","39,333",Yes,15,"1,392",-1,"2,267",49
Sutton County Library,"3,738",10/01/2020,09/30/2021,Sonora,3253872111,"$1,41,930","$5,574","$1,500",$0,$0,Yes,Yes,"15,064","1,739","16,530","3,219","36,693","8,981","2,401",848,"1,120","3,087",Yes,9,"1,217",-1,"2,424",51
Alma M Carpenter Public Library,"3,488",01/01/2021,12/31/2021,Sour Lake,4092873592,"$57,092","$3,800",$0,$0,$0,Yes,Yes,"11,801",524,0,0,"13,908","3,584",324,"1,678",0,"2,631",Yes,5,624,-1,"2,187",52
Southlake Public Library,"31,265",10/01/2020,09/30/2021,Southlake,8177488243,"$6,34,196","$89,885","$25,564",$0,$0,Yes,Yes,"33,833",911,"1,897",516,"41,554","78,261","14,532","1,29,725","61,679","4,18,364",Yes,10,"1,885","42,452","2,726",51
Hansford County Library,"5,279",01/01/2021,12/31/2021,Spearman,8066592231,"$57,419","$7,243",$0,$0,$0,Yes,Yes,"20,262","8,728","6,160","2,048","39,079","6,301","1,301","10,060","14,602","87,711",Yes,4,"1,020","1,227","1,725",52
Spicewood Library,"6,523",10/01/2020,09/30/2021,Spicewood,8306937892,"$25,174","$3,184","$1,500",$0,"$2,343",Yes,Yes,"9,715",516,"22,888","6,504","40,758","4,207","2,536","1,498","1,759","5,812",Yes,4,291,-1,"1,144",52
Springtown Public Library,"10,894",10/01/2020,09/30/2021,Springtown,8175235862,"$89,641","$7,481","$2,250","$2,551","$2,551",Yes,Yes,"14,606",376,"18,169","9,342","43,411","6,285","4,731","8,110","3,610","16,577",Yes,7,589,-1,"1,046",26
Dickens County Spur Public Library,"2,140",09/01/2020,08/31/2021,Spur,8062713714,"$12,773","$6,880","$1,500",$0,$0,Yes,Yes,"15,900",203,"18,286","2,571","38,167","2,604","1,020","1,941","1,201","3,865",Yes,8,258,-1,"1,062",49
Martin County Library,"5,816",01/01/2021,12/31/2021,Stanton,4327562472,"$1,60,623","$20,451",$0,$0,$0,Yes,Yes,"23,883","1,071",0,0,"26,899","8,240","3,509","6,227",0,"8,545",Yes,16,"1,669",-1,"1,968",45
Stephenville Public Library,"20,897",10/01/2020,09/30/2021,Stephenville,2549181240,"$1,96,528","$12,474","$3,420",$0,$0,Yes,Yes,"28,731",950,0,0,"38,414","17,556","21,703","17,429",0,"23,426",Yes,9,"11,643",-1,"1,880",43
Sterling County Public Library,"1,315",10/01/2020,09/30/2021,Sterling City,3253782212,"$25,419","$7,969",$0,$0,$0,Yes,Yes,"10,968",411,0,0,"11,386","3,953","1,310","1,493",0,"3,674",Yes,4,344,-1,"1,487",44
Sherman County Public Library,"3,027",10/01/2020,09/30/2021,Stratford,8063662200,"$77,494","$9,873",$0,$0,$0,Yes,Yes,"19,410","2,792","5,982","1,941","31,814","3,399","1,213","4,123","14,464","31,215",Yes,13,497,"1,153","1,153",35
City of Sundown Library,"1,283",10/01/2020,09/30/2021,Sundown,8062293131,"$10,516","$3,595",$257,$0,$0,Yes,Yes,"7,686",42,"10,146",125,"18,000","1,249",141,852,17,"1,166",Yes,1,1,-1,740,37
Doris Padgett Library,"7,893",10/01/2020,09/30/2021,Sunnyvale,9722264491,"$1,59,590","$19,019","$2,100",$0,$0,Yes,Yes,"46,250",261,"34,771","6,969","91,225","7,268","7,088","7,907","1,818","32,023",Yes,6,206,-1,"2,181",52
County-City Library,"14,835",10/01/2020,09/30/2021,Sweetwater,3252354978,"$2,15,919","$15,911","$3,000",$0,$0,Yes,Yes,"40,846","1,454","16,530","3,219","63,818","22,583","10,535","12,475","2,550","19,698",Yes,9,"2,109",-1,"1,990",52
City County Library,"6,025",10/01/2020,09/30/2021,Tahoka,8065614050,"$90,713","$6,400","$1,500",$0,$0,Yes,Yes,"6,959",220,"15,957","1,840","25,362","7,737","1,698","2,966",985,"8,985",Yes,3,148,-1,"1,944",52
Taylor Public Library,"16,267",10/01/2020,09/30/2021,Taylor,5123523434,"$3,67,561","$29,017","$3,000",$0,$0,Yes,Yes,"52,801","1,164","19,925","4,718","80,404","9,150","12,416","12,475","2,889","27,461",Yes,16,"1,008","18,302",740,22
Teague Public Library,"10,788",10/01/2020,09/30/2021,Teague,2547393311,"$87,900","$6,723","$1,500",$0,$0,Yes,Yes,"17,781",82,"16,683","4,932","39,940","8,608","5,926","6,171","21,615","29,350",Yes,6,"1,696",-1,"2,214",46
Temple Public Library,"82,073",10/01/2020,09/30/2021,Temple,2542985555,"$12,72,903","$1,16,290","$13,800","$1,11,434","$1,11,434",Yes,Yes,"1,43,183","5,169","23,395","6,426","1,85,371","1,20,587","12,180","1,43,984","1,941","2,91,665",Yes,33,"6,703","27,346","2,058",35
Riter C Hulsey Public Library,"57,151",10/01/2020,09/30/2021,Terrell,9725516663,"$8,31,572","$21,724","$35,796",$0,$0,Yes,Yes,"62,859","1,777","34,771","6,969","1,09,535","39,989","6,386","15,780","8,693","54,287",Yes,16,-1,"13,181","1,787",44
Texarkana Public Library,"36,193",10/01/2020,09/30/2021,Texarkana,9037942149,"$5,93,003","$44,931","$21,710",$0,$0,Yes,Yes,"83,285","4,260","34,893","7,337","1,38,657","45,774","41,456","33,026","5,823","55,371",Yes,19,"10,078","23,853","2,047",52
Moore Memorial Public Library,"58,362",10/01/2020,09/30/2021,Texas City,4096435970,"$8,01,826","$1,27,644","$85,533",$0,$0,Yes,Yes,"1,29,614","5,112","11,329","2,665","1,90,710","34,429","24,611","48,539","12,740","82,600",Yes,8,867,"55,377","2,305",52
The Colony Public Library,"62,135",10/01/2020,09/30/2021,The Colony,9726251900,"$9,66,933","$42,387","$62,083",$0,$0,Yes,Yes,"59,926","2,847","27,837","14,594","1,11,938","31,846","21,770","29,421","23,990","98,747",Yes,26,"7,969","35,163","2,107",50
Depot Public Library,"1,487",09/01/2020,08/31/2021,Throckmorton,9408493076,"$9,237",$189,$0,$0,$0,Yes,Yes,"10,219",0,0,0,"10,543","4,120",592,"2,999",0,"3,120",Yes,7,935,-1,"1,248",52
Timpson Public Library,"3,847",01/01/2021,12/31/2021,Timpson,9362542966,$0,"$1,762",$634,$0,$0,Yes,Yes,"18,463",0,0,0,"19,787","2,250","2,768","1,245",0,"1,379",Yes,10,"1,300",-1,"1,664",52
Cameron-J Jarvis Troup Municipal Library,"2,006",10/01/2020,09/30/2021,Troup,9038423101,"$52,330","$4,697","$1,500",$0,"$6,000",Yes,Yes,"12,020",0,"34,771","6,969","55,036","4,055","3,999","5,751","2,363","10,777",Yes,6,479,"13,278",960,48
Swisher County Library,"7,340",10/01/2020,09/30/2021,Tulia,8069953447,"$60,765","$11,100",$286,$0,$0,Yes,Yes,"12,956",822,"5,982","1,941","21,879","8,640","2,068","4,211",518,"7,392",Yes,12,765,"1,740","1,886",46
Tyler Public Library,"1,05,995",10/01/2020,09/30/2021,Tyler,9035937323,"$11,23,581","$76,306","$62,255",$0,$0,Yes,Yes,"1,79,707","7,169","24,477","7,667","2,35,203","1,49,168","13,626","78,432","40,230","2,24,861",Yes,35,"7,312",-1,"2,481",52
Universal City Public Library,"19,720",10/01/2020,09/30/2021,Universal City,2106597048,"$1,94,762","$21,500",$560,$0,$0,Yes,Yes,"20,229",934,0,0,"23,687","10,889","17,015","7,808",0,"16,097",Yes,13,"1,928","2,058",972,22
University Park Public Library,"25,278",10/01/2020,09/30/2021,University Park,2143639095,"$5,08,191","$44,001","$47,974",$0,$0,Yes,Yes,"52,071",501,"34,771","6,969","97,146","16,868","4,095","15,907","19,118","1,23,066",Yes,10,175,"42,099","1,900",44
Utopia Memorial Library,"4,004",10/01/2020,09/30/2021,Utopia,8309663448,"$3,660","$2,557",$0,$0,$0,Yes,Yes,"15,210",439,0,0,"17,248","2,072",776,"7,250",0,"7,483",Yes,6,"1,091","1,635","1,489",52
El Progreso Memorial Library,"20,999",07/01/2020,06/30/2021,Uvalde,8302782017,"$2,26,047","$12,786",$0,$0,$0,Yes,Yes,"66,599","1,147","5,530","1,403","76,776","28,785","22,664","37,990","2,280","50,062",Yes,16,"3,535","4,431","1,796",32
Valley Mills Public Library,"1,216",10/01/2020,09/30/2021,Valley Mills,2549326370,"$14,209",$207,"$1,500",$0,"$4,000",Yes,Yes,"10,529",52,"17,638","4,953","33,654","2,196",334,"7,940",156,"12,864",Yes,4,156,-1,"1,250",50
Van Alstyne Public Library,"6,834",10/01/2020,09/30/2021,Van Alstyne,9034825991,"$1,91,366","$9,750","$1,741",$0,$0,Yes,Yes,"16,551",338,"32,731","5,244","56,061","11,237","2,678","8,534","1,857","19,250",Yes,5,595,"4,530",864,52
Van Horn City County Library,"2,149",04/01/2020,03/31/2021,Van Horn,4322832855,"$1,13,644","$3,225",$0,$0,$0,Yes,Yes,"18,889",446,0,0,"19,632","2,272",282,225,0,416,Yes,6,101,-1,800,20
Oldham County Public Library,"2,135",10/01/2020,09/30/2021,Vega,8062672635,"$6,920","$4,850",$0,$0,$0,Yes,Yes,"10,355",325,"4,000",0,"14,753","1,841",851,708,178,"26,875",Yes,2,46,178,922,43
Joe A Hall High School and Community Library,"11,374",01/01/2021,12/31/2021,Venus,9723668353,"$1,13,773","$18,975","$2,000",$0,$0,Yes,Yes,"16,873",0,"35,183","7,020","60,293","2,370","2,081","2,676",836,"6,065",Yes,19,256,-1,"1,189",41
Carnegie City-County Library,"12,552",10/01/2020,09/30/2021,Vernon,9405522462,"$98,470","$11,399",$0,$0,$0,Yes,Yes,"31,132","1,911",0,0,"33,617","6,000","8,100","10,167",0,"13,900",Yes,7,"4,160",-1,"1,716",50
Victoria Public Library,"91,936",10/01/2020,09/30/2021,Victoria,3614853301,"$12,49,450","$1,43,532","$1,38,165","$42,880","$66,231",Yes,Yes,"77,904","7,002","31,418","8,428","1,38,354","1,09,121","40,591","1,51,434","34,418","2,80,100",Yes,40,"9,396","57,349","2,648",52
Vidor Public Library,"9,789",10/01/2020,09/30/2021,Vidor,4097697148,"$1,47,753","$16,890","$3,000",$0,"$6,448",Yes,Yes,"37,581",376,"19,794","2,962","63,821","21,600","8,135","8,120","3,254","18,369",Yes,4,"1,034","2,129","1,960",49
Waco-McLennan County Library,"2,17,349",10/01/2020,09/30/2021,Waco,2547505941,"$26,81,325","$4,89,197","$50,670",$0,$0,Yes,Yes,"2,98,974","16,488","1,42,312","59,790","5,40,147","1,62,721","76,562","2,09,690","53,586","5,26,758",Yes,152,"35,048","1,71,325","1,944",50
Austin County Library System,"14,608",10/01/2020,09/30/2021,Wallis,9794786813,"$1,12,667","$10,000","$1,600",$0,$0,Yes,Yes,"37,689",752,0,0,"42,547","14,365","4,862","15,295",0,"19,678",Yes,13,"1,103",-1,"2,080",52
Waskom Public Library,"5,031",01/01/2021,12/31/2021,Waskom,9036873041,"$22,700","$2,509",$0,$0,$0,Yes,Yes,"11,452",700,0,0,"12,606","2,666","2,962","1,710",0,"2,341",Yes,5,610,"13,966","1,247",51
Watauga Public Library,"23,650",10/01/2020,09/30/2021,Watauga,8175145855,"$5,96,014","$85,462","$51,325","$13,081","$13,081",Yes,Yes,"79,380","7,057","18,681","10,743","1,33,294","20,310","14,532","42,826","7,614","1,00,172",Yes,30,"1,360","23,044",984,26
Nicholas P Sims Library & Lyceum,"41,140",10/01/2020,09/30/2021,Waxahachie,9729372671,"$7,45,824","$38,517","$36,223",$0,"$3,60,655",Yes,Yes,"51,593","4,035","35,038","7,029","1,03,136","37,044","13,345","29,853","20,973","1,08,485",Yes,34,"1,878","39,532","1,368",34
Weatherford Public Library,"1,09,703",10/01/2020,09/30/2021,Weatherford,8175984150,"$7,40,950","$1,20,690","$54,102",$0,"$25,416",Yes,Yes,"88,962","3,364","21,426","9,496","1,30,934","68,726","23,157","1,65,176","45,493","3,96,145",Yes,8,"7,166","1,20,843","2,376",52
Weimar Public Library,"3,267",10/01/2020,09/30/2021,Weimar,9797256608,"$69,956","$7,591","$1,500",$0,$546,Yes,Yes,"13,324",461,765,585,"16,951","5,280","1,353","1,498",765,"5,062",Yes,6,159,-1,"1,300",39
Collingsworth Public Library,"2,877",09/01/2020,08/31/2021,Wellington,8064473183,"$1,26,036","$20,451","$6,362",$0,$0,Yes,Yes,"23,609",969,"5,643","1,782","33,702","22,687","1,341","7,011",290,"10,605",Yes,5,678,"5,193","2,099",50
Rube Sessions Memorial Library,853,01/01/2021,12/31/2021,Wells,9368674757,"$34,963",$963,$0,$0,$0,Yes,Yes,"11,118",46,0,0,"11,516","2,173","1,874","2,566",0,"3,306",Yes,12,546,-1,"1,320",40
Mayor Joe V Sanchez Public Library,"62,045",10/01/2020,09/30/2021,Weslaco,9569684533,"$5,95,616","$43,792","$8,105",$0,$0,Yes,Yes,"89,360","2,312","9,868","3,568","1,07,860","1,29,369","42,716","11,340","7,319","37,987",Yes,75,"10,755","40,633","3,243",47
West Public Library,"3,972",01/01/2021,12/31/2021,West,2548263070,"$14,590","$3,996",$0,$0,$0,Yes,Yes,"29,423",107,0,0,"29,840","13,000","3,693","5,736",0,"6,657",Yes,6,352,"2,431",930,48
Tawakoni Area Public Library,"4,548",01/01/2021,12/31/2021,West Tawakoni,9034473445,"$11,149",$967,"$1,125",$0,$0,Yes,Yes,"15,287",251,"34,926","7,002","58,908","3,253","2,832","9,653",25,"10,574",Yes,8,575,-1,"1,072",50
Wharton County Library,"41,685",01/01/2021,12/31/2021,Wharton,9795328080,"$8,18,830","$58,447","$10,779",$0,"$25,828",Yes,Yes,"1,19,186","2,979","49,625","20,665","1,96,743","1,31,066","19,868","47,559","11,610","1,18,175",Yes,38,"10,843","26,000","2,543",51
White Oak School Community Library,"8,713",09/01/2020,08/31/2021,White Oak,9032912052,"$94,555","$16,450","$1,500",$0,$0,`,Yes,"14,585",576,"34,251","5,445","55,410","1,910","2,803","3,897",121,"5,384",Yes,2,210,-1,670,45
White Settlement Public Library,"18,269",10/01/2020,09/30/2021,White Settlement,8173670166,"$1,70,902","$12,067","$3,000","$28,963","$31,293",Yes,Yes,"51,161",793,"18,169","9,342","84,210","15,952","6,569","14,662","4,053","36,299",Yes,17,846,"6,253",744,24
Whitehouse Community Library,"8,257",10/01/2020,09/30/2021,Whitehouse,9038392949,"$34,736","$7,364","$1,500",$0,$0,Yes,Yes,"25,906",620,"34,771","6,969","70,746","12,607","5,017","9,404","5,899","33,095",Yes,8,"1,802",-1,"1,411",48
Whitesboro Public Library,"6,373",10/01/2020,09/30/2021,Whitesboro,9035645432,"$2,14,704","$22,500","$5,941",$0,$0,Yes,Yes,"31,711","1,550","10,328",125,"44,921","17,110","15,733","25,333",349,"29,955",Yes,10,197,"2,840","1,242",50
Whitewright Public Library,"2,691",10/01/2020,09/30/2021,Whitewright,9033642955,"$60,191","$2,983","$1,000",$0,$0,Yes,Yes,"11,786",795,"34,771","6,969","56,705","5,298","2,720","5,920","5,938","19,209",Yes,5,217,"3,020","1,754",52
Lake Whitney Library,"1,992",10/01/2020,09/30/2021,Whitney,2546944639,"$73,800","$5,560",$350,$0,$0,Yes,Yes,"25,855",753,410,2,"27,741","12,512","10,805","16,024",25,"17,561",Yes,22,"1,714","11,905","1,525",52
Wichita Falls Public Library,"1,02,316",10/01/2020,09/30/2021,Wichita Falls,9407670868,"$9,63,052","$1,47,157","$90,606",$0,$0,Yes,Yes,"1,50,717","8,473","6,75,512","1,29,244","10,21,717","77,397","30,307","1,86,398","57,118","3,40,991",Yes,32,"12,468","62,082","2,824",51
Gilliam Memorial Public Library,"4,974",10/01/2020,09/30/2021,Wilmer,9724413713,"$40,767",$20,"$1,500",$0,$0,Yes,Yes,"14,641",44,"29,796","5,049","50,707",0,"1,657",0,50,50,Yes,8,0,-1,0,0
